ENSG00000000003	ENSPTRG00000022087
ENSG00000000005	ENSPTRG00000022086
ENSG00000000419	ENSPTRG00000013625
ENSG00000000457	ENSPTRG00000001665
ENSG00000000460	ENSPTRG00000001664
ENSG00000000938	ENSPTRG00000000411
ENSG00000000938	ENSPTRG00000048728
ENSG00000000971	ENSPTRG00000001799
ENSG00000001036	ENSPTRG00000018671
ENSG00000001084	ENSPTRG00000018290
ENSG00000001167	ENSPTRG00000018146
ENSG00000001460	ENSPTRG00000000345
ENSG00000001461	ENSPTRG00000000346
ENSG00000001497	ENSPTRG00000021970
ENSG00000001561	ENSPTRG00000018231
ENSG00000001617	ENSPTRG00000014948
ENSG00000001626	ENSPTRG00000019619
ENSG00000001629	ENSPTRG00000019394
ENSG00000001629	ENSPTRG00000049382
ENSG00000001630	ENSPTRG00000019391
ENSG00000001630	ENSPTRG00000047976
ENSG00000001631	ENSPTRG00000019393
ENSG00000001631	ENSPTRG00000051349
ENSG00000002016	ENSPTRG00000004514
ENSG00000002330	ENSPTRG00000003830
ENSG00000002549	ENSPTRG00000015938
ENSG00000002586	ENSPTRG00000028324
ENSG00000002587	ENSPTRG00000015919
ENSG00000002726	ENSPTRG00000019866
ENSG00000002726	ENSPTRG00000045385
ENSG00000002745	ENSPTRG00000019627
ENSG00000002746	ENSPTRG00000019123
ENSG00000002822	ENSPTRG00000018855
ENSG00000002834	ENSPTRG00000009081
ENSG00000002919	ENSPTRG00000009349
ENSG00000002933	ENSPTRG00000019865
ENSG00000002933	ENSPTRG00000044679
ENSG00000003056	ENSPTRG00000004648
ENSG00000003096	ENSPTRG00000044070
ENSG00000003137	ENSPTRG00000012051
ENSG00000003147	ENSPTRG00000018931
ENSG00000003393	ENSPTRG00000012811
ENSG00000003400	ENSPTRG00000012800
ENSG00000003402	ENSPTRG00000012798
ENSG00000003436	ENSPTRG00000012723
ENSG00000003509	ENSPTRG00000011837
ENSG00000003756	ENSPTRG00000014946
ENSG00000003987	ENSPTRG00000020020
ENSG00000003989	ENSPTRG00000020021
ENSG00000004059	ENSPTRG00000019651
ENSG00000004139	ENSPTRG00000008917
ENSG00000004142	ENSPTRG00000051371
ENSG00000004399	ENSPTRG00000015381
ENSG00000004455	ENSPTRG00000000499
ENSG00000004468	ENSPTRG00000015930
ENSG00000004478	ENSPTRG00000004529
ENSG00000004487	ENSPTRG00000000321
ENSG00000004534	ENSPTRG00000014943
ENSG00000004660	ENSPTRG00000008579
ENSG00000004700	ENSPTRG00000004758
ENSG00000004766	ENSPTRG00000019403
ENSG00000004776	ENSPTRG00000010864
ENSG00000004777	ENSPTRG00000010866
ENSG00000004779	ENSPTRG00000007889
ENSG00000004799	ENSPTRG00000019421
ENSG00000004809	ENSPTRG00000018499
ENSG00000004838	ENSPTRG00000014960
ENSG00000004846	ENSPTRG00000018966
ENSG00000004848	ENSPTRG00000045701
ENSG00000004864	ENSPTRG00000019423
ENSG00000004866	ENSPTRG00000019616
ENSG00000004897	ENSPTRG00000009326
ENSG00000004939	ENSPTRG00000009270
ENSG00000004948	ENSPTRG00000019404
ENSG00000004961	ENSPTRG00000021657
ENSG00000004975	ENSPTRG00000008665
ENSG00000005001	ENSPTRG00000007669
ENSG00000005007	ENSPTRG00000010721
ENSG00000005020	ENSPTRG00000019007
ENSG00000005022	ENSPTRG00000041698
ENSG00000005059	ENSPTRG00000016360
ENSG00000005073	ENSPTRG00000019020
