ENSG00000000005	ENSMMUG00000008212
ENSG00000000419	ENSMMUG00000002759
ENSG00000000457	ENSMMUG00000016583
ENSG00000000460	ENSMMUG00000016582
ENSG00000000938	ENSMMUG00000014434
ENSG00000000971	ENSMMUG00000045497
ENSG00000001036	ENSMMUG00000005366
ENSG00000001084	ENSMMUG00000008684
ENSG00000001167	ENSMMUG00000021173
ENSG00000001460	ENSMMUG00000054255
ENSG00000001461	ENSMMUG00000004466
ENSG00000001497	ENSMMUG00000003922
ENSG00000001561	ENSMMUG00000042260
ENSG00000001617	ENSMMUG00000010337
ENSG00000001626	ENSMMUG00000011269
ENSG00000001629	ENSMMUG00000005120
ENSG00000001631	ENSMMUG00000014907
ENSG00000002016	ENSMMUG00000018654
ENSG00000002330	ENSMMUG00000060596
ENSG00000002549	ENSMMUG00000005732
ENSG00000002586	ENSMMUG00000018687
ENSG00000002586	ENSMMUG00000055976
ENSG00000002587	ENSMMUG00000001341
ENSG00000002726	ENSMMUG00000020435
ENSG00000002745	ENSMMUG00000002439
ENSG00000002746	ENSMMUG00000019015
ENSG00000002822	ENSMMUG00000011659
ENSG00000002834	ENSMMUG00000007799
ENSG00000002919	ENSMMUG00000020658
ENSG00000003056	ENSMMUG00000017846
ENSG00000003096	ENSMMUG00000002293
ENSG00000003137	ENSMMUG00000012141
ENSG00000003147	ENSMMUG00000005435
ENSG00000003249	ENSMMUG00000000398
ENSG00000003393	ENSMMUG00000018155
ENSG00000003400	ENSMMUG00000031297
ENSG00000003402	ENSMMUG00000012310
ENSG00000003436	ENSMMUG00000009448
ENSG00000003509	ENSMMUG00000016434
ENSG00000003756	ENSMMUG00000004921
ENSG00000003987	ENSMMUG00000001878
ENSG00000003989	ENSMMUG00000022303
ENSG00000004059	ENSMMUG00000046381
ENSG00000004139	ENSMMUG00000061478
ENSG00000004142	ENSMMUG00000019146
ENSG00000004399	ENSMMUG00000012737
ENSG00000004455	ENSMMUG00000006284
ENSG00000004468	ENSMMUG00000015298
ENSG00000004478	ENSMMUG00000007405
ENSG00000004487	ENSMMUG00000009773
ENSG00000004534	ENSMMUG00000003494
ENSG00000004660	ENSMMUG00000020251
ENSG00000004700	ENSMMUG00000010857
ENSG00000004766	ENSMMUG00000017311
ENSG00000004776	ENSMMUG00000002389
ENSG00000004777	ENSMMUG00000002394
ENSG00000004799	ENSMMUG00000021389
ENSG00000004809	ENSMMUG00000008187
ENSG00000004838	ENSMMUG00000007006
ENSG00000004846	ENSMMUG00000007821
ENSG00000004848	ENSMMUG00000055034
ENSG00000004864	ENSMMUG00000005250
ENSG00000004866	ENSMMUG00000021722
ENSG00000004897	ENSMMUG00000018599
ENSG00000004939	ENSMMUG00000017100
ENSG00000004948	ENSMMUG00000014319
ENSG00000004961	ENSMMUG00000013993
ENSG00000004975	ENSMMUG00000052091
ENSG00000005001	ENSMMUG00000037718
ENSG00000005007	ENSMMUG00000023286
ENSG00000005020	ENSMMUG00000018544
ENSG00000005059	ENSMMUG00000052933
ENSG00000005073	ENSMMUG00000055708
ENSG00000005075	ENSMMUG00000012019
ENSG00000005100	ENSMMUG00000006594
ENSG00000005102	ENSMMUG00000008995
ENSG00000005108	ENSMMUG00000012694
ENSG00000005156	ENSMMUG00000004794
ENSG00000005175	ENSMMUG00000007482
ENSG00000005187	ENSMMUG00000016745
ENSG00000005189	ENSMMUG00000016748
ENSG00000005194	ENSMMUG00000020472
ENSG00000005206	ENSMMUG00000059901
ENSG00000005238	ENSMMUG00000011862
ENSG00000005243	ENSMMUG00000021934
ENSG00000005249	ENSMMUG00000015404
ENSG00000005302	ENSMMUG00000002689
ENSG00000005339	ENSMMUG00000002286
ENSG00000005379	ENSMMUG00000018087
ENSG00000005381	ENSMMUG00000002266
ENSG00000005421	ENSMMUG00000008011
ENSG00000005436	ENSMMUG00000018512
ENSG00000005448	ENSMMUG00000002719
ENSG00000005469	ENSMMUG00000010787
ENSG00000005471	ENSMMUG00000010788
ENSG00000005483	ENSMMUG00000022727
ENSG00000005486	ENSMMUG00000007362
ENSG00000005513	ENSMMUG00000051720
ENSG00000005700	ENSMMUG00000010749
ENSG00000005801	ENSMMUG00000018698
ENSG00000005810	ENSMMUG00000021459
ENSG00000005812	ENSMMUG00000021458
ENSG00000005844	ENSMMUG00000016876
ENSG00000005882	ENSMMUG00000014685
ENSG00000005884	ENSMMUG00000000153
ENSG00000005889	ENSMMUG00000009801
ENSG00000005893	ENSMMUG00000001484
ENSG00000005961	ENSMMUG00000012659
ENSG00000005981	ENSMMUG00000008016
ENSG00000006007	ENSMMUG00000013331
ENSG00000006016	ENSMMUG00000060102
ENSG00000006025	ENSMMUG00000019039
ENSG00000006042	ENSMMUG00000022356
ENSG00000006047	ENSMMUG00000022712
ENSG00000006059	ENSMMUG00000062362
ENSG00000006062	ENSMMUG00000007863
ENSG00000006071	ENSMMUG00000023581
ENSG00000006116	ENSMMUG00000013560
ENSG00000006118	ENSMMUG00000052420
ENSG00000006125	ENSMMUG00000006048
ENSG00000006128	ENSMMUG00000014823
ENSG00000006194	ENSMMUG00000017973
ENSG00000006210	ENSMMUG00000059578
ENSG00000006282	ENSMMUG00000017252
ENSG00000006283	ENSMMUG00000017256
ENSG00000006327	ENSMMUG00000044474
ENSG00000006377	ENSMMUG00000049169
ENSG00000006432	ENSMMUG00000005786
ENSG00000006451	ENSMMUG00000050621
ENSG00000006453	ENSMMUG00000013276
ENSG00000006459	ENSMMUG00000008126
ENSG00000006468	ENSMMUG00000039167
ENSG00000006530	ENSMMUG00000021017
ENSG00000006555	ENSMMUG00000021574
ENSG00000006576	ENSMMUG00000009008
ENSG00000006606	ENSMMUG00000015735
ENSG00000006607	ENSMMUG00000001313
ENSG00000006611	ENSMMUG00000023582
ENSG00000006625	ENSMMUG00000012550
ENSG00000006634	ENSMMUG00000006771
ENSG00000006638	ENSMMUG00000011403
ENSG00000006652	ENSMMUG00000008033
ENSG00000006652	ENSMMUG00000052812
ENSG00000006659	ENSMMUG00000048215
ENSG00000006695	ENSMMUG00000016157
ENSG00000006704	ENSMMUG00000018842
ENSG00000006712	ENSMMUG00000005552
ENSG00000006715	ENSMMUG00000010042
ENSG00000006740	ENSMMUG00000022515
ENSG00000006744	ENSMMUG00000014450
ENSG00000006747	ENSMMUG00000000880
ENSG00000006756	ENSMMUG00000003934
ENSG00000006757	ENSMMUG00000018194
ENSG00000006788	ENSMMUG00000009759
ENSG00000006831	ENSMMUG00000017262
ENSG00000007001	ENSMMUG00000011636
ENSG00000007047	ENSMMUG00000018672
ENSG00000007062	ENSMMUG00000008164
ENSG00000007080	ENSMMUG00000038308
ENSG00000007168	ENSMMUG00000020524
ENSG00000007171	ENSMMUG00000010083
ENSG00000007174	ENSMMUG00000018539
ENSG00000007202	ENSMMUG00000023412
ENSG00000007216	ENSMMUG00000037573
ENSG00000007237	ENSMMUG00000018092
ENSG00000007264	ENSMMUG00000001917
ENSG00000007306	ENSMMUG00000059229
ENSG00000007312	ENSMMUG00000041327
ENSG00000007314	ENSMMUG00000000580
ENSG00000007341	ENSMMUG00000007766
ENSG00000007350	ENSMMUG00000013667
ENSG00000007372	ENSMMUG00000016810
ENSG00000007376	ENSMMUG00000000842
ENSG00000007384	ENSMMUG00000000588
ENSG00000007392	ENSMMUG00000000596
ENSG00000007402	ENSMMUG00000007022
ENSG00000007520	ENSMMUG00000006428
ENSG00000007541	ENSMMUG00000029296
ENSG00000007545	ENSMMUG00000000978
ENSG00000007866	ENSMMUG00000015909
ENSG00000007908	ENSMMUG00000016580
ENSG00000007923	ENSMMUG00000004686
ENSG00000007933	ENSMMUG00000007952
ENSG00000007944	ENSMMUG00000057657
ENSG00000007952	ENSMMUG00000004178
ENSG00000007968	ENSMMUG00000011832
ENSG00000008018	ENSMMUG00000019919
ENSG00000008056	ENSMMUG00000011420
ENSG00000008083	ENSMMUG00000015362
ENSG00000008086	ENSMMUG00000005063
ENSG00000008118	ENSMMUG00000003369
ENSG00000008128	ENSMMUG00000001894
ENSG00000008130	ENSMMUG00000010879
ENSG00000008196	ENSMMUG00000002869
ENSG00000008197	ENSMMUG00000002867
ENSG00000008226	ENSMMUG00000000987
ENSG00000008256	ENSMMUG00000003167
ENSG00000008277	ENSMMUG00000022695
ENSG00000008282	ENSMMUG00000019593
ENSG00000008283	ENSMMUG00000013412
ENSG00000008294	ENSMMUG00000022528
ENSG00000008300	ENSMMUG00000014707
ENSG00000008311	ENSMMUG00000044304
ENSG00000008323	ENSMMUG00000000375
ENSG00000008382	ENSMMUG00000028926
ENSG00000008394	ENSMMUG00000057610
ENSG00000008405	ENSMMUG00000021808
ENSG00000008438	ENSMMUG00000008742
ENSG00000008441	ENSMMUG00000019292
ENSG00000008513	ENSMMUG00000012531
ENSG00000008516	ENSMMUG00000009483
ENSG00000008710	ENSMMUG00000029263
ENSG00000008735	ENSMMUG00000064486
ENSG00000008838	ENSMMUG00000002926
ENSG00000008838	ENSMMUG00000007527
ENSG00000008853	ENSMMUG00000007540
ENSG00000008869	ENSMMUG00000014939
ENSG00000008952	ENSMMUG00000021899
ENSG00000008988	ENSMMUG00000053276
ENSG00000009307	ENSMMUG00000001974
ENSG00000009335	ENSMMUG00000008733
ENSG00000009413	ENSMMUG00000021533
ENSG00000009694	ENSMMUG00000007587
ENSG00000009709	ENSMMUG00000017444
