ENSG00000000003	ENSPPYG00000020538
ENSG00000000005	ENSPPYG00000020537
ENSG00000000419	ENSPPYG00000011131
ENSG00000000457	ENSPPYG00000000525
ENSG00000000460	ENSPPYG00000000526
ENSG00000000938	ENSPPYG00000001659
ENSG00000000971	ENSPPYG00000000392
ENSG00000001036	ENSPPYG00000017062
ENSG00000001084	ENSPPYG00000016722
ENSG00000001167	ENSPPYG00000016588
ENSG00000001460	ENSPPYG00000001720
ENSG00000001461	ENSPPYG00000001719
ENSG00000001497	ENSPPYG00000020417
ENSG00000001561	ENSPPYG00000016666
ENSG00000001617	ENSPPYG00000013854
ENSG00000001626	ENSPPYG00000017940
ENSG00000001629	ENSPPYG00000029404
ENSG00000001630	ENSPPYG00000017824
ENSG00000001631	ENSPPYG00000017822
ENSG00000002016	ENSPPYG00000004138
ENSG00000002330	ENSPPYG00000003110
ENSG00000002549	ENSPPYG00000014626
ENSG00000002586	ENSPPYG00000020090
ENSG00000002587	ENSPPYG00000014609
ENSG00000002726	ENSPPYG00000018176
ENSG00000002745	ENSPPYG00000017947
ENSG00000002746	ENSPPYG00000017608
ENSG00000002822	ENSPPYG00000017307
ENSG00000002834	ENSPPYG00000008500
ENSG00000002919	ENSPPYG00000008892
ENSG00000002933	ENSPPYG00000018175
ENSG00000003056	ENSPPYG00000004247
ENSG00000003096	ENSPPYG00000020658
ENSG00000003137	ENSPPYG00000031073
ENSG00000003147	ENSPPYG00000017783
ENSG00000003249	ENSPPYG00000041027
ENSG00000003393	ENSPPYG00000013078
ENSG00000003400	ENSPPYG00000013070
ENSG00000003402	ENSPPYG00000013068
ENSG00000003436	ENSPPYG00000036292
ENSG00000003509	ENSPPYG00000012490
ENSG00000003756	ENSPPYG00000041498
ENSG00000003987	ENSPPYG00000018387
ENSG00000003989	ENSPPYG00000018389
ENSG00000004059	ENSPPYG00000017969
ENSG00000004139	ENSPPYG00000008093
ENSG00000004142	ENSPPYG00000008089
ENSG00000004399	ENSPPYG00000013413
ENSG00000004455	ENSPPYG00000037048
ENSG00000004468	ENSPPYG00000014618
ENSG00000004478	ENSPPYG00000004149
ENSG00000004487	ENSPPYG00000001747
ENSG00000004534	ENSPPYG00000013855
ENSG00000004660	ENSPPYG00000007824
ENSG00000004700	ENSPPYG00000004352
ENSG00000004766	ENSPPYG00000017814
ENSG00000004776	ENSPPYG00000037726
ENSG00000004777	ENSPPYG00000009883
ENSG00000004779	ENSPPYG00000007192
ENSG00000004799	ENSPPYG00000017799
ENSG00000004809	ENSPPYG00000016922
ENSG00000004838	ENSPPYG00000013843
ENSG00000004846	ENSPPYG00000017748
ENSG00000004848	ENSPPYG00000035499
ENSG00000004864	ENSPPYG00000017797
ENSG00000004866	ENSPPYG00000017934
ENSG00000004897	ENSPPYG00000008945
ENSG00000004939	ENSPPYG00000008336
ENSG00000004948	ENSPPYG00000017813
ENSG00000004961	ENSPPYG00000020120
ENSG00000004975	ENSPPYG00000007899
ENSG00000005001	ENSPPYG00000007018
ENSG00000005007	ENSPPYG00000009752
